ticket_id,ticket_text,issue_type,urgency_level,product,clean_text
1,Payment issue for my SmartWatch V2. I was underbilled for order #29224.,Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v underbilled order
2,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in white?",General Inquiry,unknown,UltraClean Vacuum,tell ultraclean vacuum warranty also available white
3,I ordered SoundWave 300 but got EcoBreeze AC instead. My order number is #36824.,Wrong Item,Medium,SoundWave 300,order soundwave get ecobreeze ac instead order number
4,Facing installation issue with PhotoSnap Cam. Setup fails at step 1.,Installation Issue,Low,PhotoSnap Cam,face installation issue photosnap cam setup fail step
5,"Order #30903 for Vision LED TV is 13 days late. Ordered on 03 March. Also, I contacted support on 03 March but got no response.",Late Delivery,unknown,Vision LED TV,order vision lead tv day late order march also contact support march get response
6,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red?",General Inquiry,Medium,PhotoSnap Cam,tell photosnap cam warranty also available red
7, is malfunction. It stopped working after just 7 days.,Product Defect,Low,EcoBreeze AC,malfunction stop work day
8,"Facing installation issue with RoboChef Blender. Setup fails at step 3. Also, I contacted support on 17 March but got no response.",Installation Issue,High,RoboChef Blender,face installation issue robochef blender setup fail step also contact support march get response
9,Both my FitRun Treadmill and UltraClean Vacuum are error. Both giving issues.,unknown,High,FitRun Treadmill,fitrun treadmill ultraclean vacuum error give issue
12,Order #34285 placed on 18 March still not here.,Late Delivery,Medium,RoboChef Blender,order place march still
13,Vision LED TV is no response. It stopped working after just 9 days.,unknown,unknown,Vision LED TV,vision lead tv response stop work day
14,"Both my PowerMax Battery and EcoBreeze AC are lost. Both giving issues. Also, I contacted support on 12 March but got no response.",Product Defect,High,PowerMax Battery,powermax battery ecobreeze ac lose give issue also contact support march get response
15,Order #53356 for RoboChef Blender is 18 days late. Ordered on 13 April.,Late Delivery,High,RoboChef Blender,order robochef blender day late order april
16,Order #49712 for RoboChef Blender is 4 days late. Ordered on 25 April.,Late Delivery,Medium,RoboChef Blender,order robochef blender day late order april
17,"Received wrong product, order mixed up. Also, I contacted support on 03 March but got no response.",Wrong Item,Medium,Vision LED TV,receive wrong product order mix also contact support march get response
18,"Received wrong product, order mixed up.",Wrong Item,High,PhotoSnap Cam,receive wrong product order mix
19,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PhotoSnap Cam,log account keep show unknown issue help
20,Login not working.,Account Access,High,ProTab X1,login work
21,PhotoSnap Cam is faulty. It stopped working after just 1 days.,Product Defect,Medium,PhotoSnap Cam,photosnap cam faulty stop work day
22,"Payment issue for my RoboChef Blender. I was not refunded for order #47429. Also, I contacted support on 02 March but got no response.",Billing Problem,Medium,RoboChef Blender,payment issue robochef blender refund order also contact support march get response
23,FitRun Treadmill is damaged. It stopped working after just 9 days.,Product Defect,Low,FitRun Treadmill,fitrun treadmill damage stop work day
24,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Low,EcoBreeze AC,log account keep show block help
25,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in black?",General Inquiry,unknown,FitRun Treadmill,tell fitrun treadmill warranty also available black
26,Facing installation issue with RoboChef Blender. Setup fails at step 6.,unknown,Medium,RoboChef Blender,face installation issue robochef blender setup fail step
27,Facing installation issue wit Vision LED TV. Setup fails at step 6.,Installation Issue,Low,Vision LED TV,face installation issue wit vision lead tv setup fail step
28,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in blue?",General Inquiry,Medium,RoboChef Blender,tell robochef blender warranty also available blue
29,FitRun Treadmill is malfunction. It stopped working after just 2 days.,Product Defect,Low,FitRun Treadmill,fitrun treadmill malfunction stop work day
30,"Order #28983 for SmartWatch V2 is 17 days late. Ordered on 05 May. Also, I contacted support on 05 May but got no response.",Late Delivery,High,SmartWatch V2,order smartwatch v day late order may also contact support may get response
31,Payment issue fr mi EcoBreeze AC. I was charged twice fr order #64374.,Billing Problem,Low,EcoBreeze AC,payment issue fr mi ecobreeze ac charge twice fr order
32,"FitRun Treadmill is lost. It stopped working after just 3 days. Also, I contacted support on 08 May but got no response.",Product Defect,Low,FitRun Treadmill,fitrun treadmill lose stop work day also contact support may get response
33,Order #79265 for EcoBreeze AC is 15 days late. Ordered on 17 March.,Late Delivery,Low,EcoBreeze AC,order ecobreeze ac day late order march
34,Payment problem fr order #88128. Need urgent help.,Billing Problem,Low,RoboChef Blender,payment problem fr order need urgent help
35,Order #58187 for EcoBreeze AC is 11 days late. Ordered on 30 March.,Late Delivery,Low,EcoBreeze AC,order ecobreeze ac day late order march
36,RoboChef Blender is malfunction. It stopped working after just 9 days.,Product Defect,High,RoboChef Blender,robochef blender malfunction stop work day
37,Can't log in to my account. Keeps showing blocked. Help! Delivery expected by 04 March.,unknown,High,FitRun Treadmill,log account keep show block help delivery expect march
39,Payment issue for my ProTab X1. I was charged twice for order #14510.,Billing Problem,Medium,ProTab X1,payment issue protab x charge twice order
40,Facing installation issue with FitRun Treadmill. Setup fails at step 4.,Installation Issue,High,FitRun Treadmill,face installation issue fitrun treadmill setup fail step
41,Payment issue for my FitRun Treadmill. I was not refunded for order #91776.,Billing Problem,Low,FitRun Treadmill,payment issue fitrun treadmill refund order
42,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,PhotoSnap Cam,log account keep show captcha fail help
44,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,SoundWave 300,log account keep show unknown issue help
45,Facing installation issue with RoboChef Blender. Setup fails at step 2.,Installation Issue,Low,RoboChef Blender,face installation issue robochef blender setup fail step
46,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,High,UltraClean Vacuum,tell warranty also available black
47,Facing installation issue with PowerMax Battery. Setup fails at step 2.,Installation Issue,Medium,PowerMax Battery,face installation issue powermax battery setup fail step
48,"Can you tell me more about the ProTab X1 warranty? Also, is it available in red?",General Inquiry,Low,ProTab X1,tell protab x warranty also available red
49,Facing installation issue wit EcoBreeze AC. Setup fails at step 2.,Installation Issue,Medium,EcoBreeze AC,face installation issue wit ecobreeze ac setup fail step
50,"Vision LED TV is lost. It stopped working after just 3 days. Also, I contacted support on 18 May but got no response.",Product Defect,High,Vision LED TV,vision lead tv lose stop work day also contact support may get response
51,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white? Also, I contacted support on 04 April but got no response. Delivery expected by 04 April.",General Inquiry,High,ProTab X1,tell protab x warranty also available white also contact support april get response delivery expect april
52,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white? Also, I contacted support on 13 April but got no response.",General Inquiry,High,FitRun Treadmill,tell fitrun treadmill warranty also available white also contact support april get response
53,Facing installation issue with EcoBreeze AC. Setup fails at step 6. Delivery expected by 26 April.,Installation Issue,High,EcoBreeze AC,face installation issue ecobreeze ac setup fail step delivery expect april
54,Payment issue fr mi . I was charged twice fr order #45453.,Billing Problem,High,UltraClean Vacuum,payment issue fr mi charge twice fr order
55,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,SoundWave 300,log account keep show block help
56,Facing installation issue with Vision LED TV. Setup fails at step 2.,Installation Issue,Low,Vision LED TV,face installation issue vision lead tv setup fail step
57,Payment issue for my Vision LED TV. I was not refunded for order #77581.,Billing Problem,Medium,Vision LED TV,payment issue vision lead tv refund order
58,"Can you tell me more about the  warranty? Also, is it available in white? Delivery expected by 19 March.",unknown,High,Vision LED TV,tell warranty also available white delivery expect march
59,I ordered SmartWatch V2 but got PowerMax Battery instead. My order number is #65084. Delivery expected by 12 April.,Wrong Item,unknown,SmartWatch V2,order smartwatch v get powermax battery instead order number delivery expect april
60,Payment issue for my ProTab X1. I was debited incorrectly for order #19053.,Billing Problem,Medium,ProTab X1,payment issue protab x debit incorrectly order
61,"Payment issue for my FitRun Treadmill. I was overbilled for order #84201. Also, I contacted support on 16 May but got no response.",Billing Problem,High,FitRun Treadmill,payment issue fitrun treadmill overbille order also contact support may get response
62,Payment problem for order #67337. Need urgent help. Delivery expected by 19 March.,Billing Problem,Low,PhotoSnap Cam,payment problem order need urgent help delivery expect march
63,"I ordered PowerMax Battery but got ProTab X1 instead. My order number is #97429. Also, I contacted support on 07 April but got no response.",Wrong Item,High,PowerMax Battery,order powermax battery get protab x instead order number also contact support april get response
64,PhotoSnap Cam is faulty. It stopped working after just 7 days.,Product Defect,Medium,PhotoSnap Cam,photosnap cam faulty stop work day
65,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue?",General Inquiry,Low,Vision LED TV,tell vision lead tv warranty also available blue
66,Order #95306 for PhotoSnap Cam is 17 days late. Ordered on 09 March.,Late Delivery,Low,PhotoSnap Cam,order photosnap cam day late order march
67,Order #96823 for SmartWatch V2 is 14 days late. Ordered on 16 March.,Late Delivery,Medium,SmartWatch V2,order smartwatch v day late order march
68,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,High,Vision LED TV,log account keep show captcha fail help
69,"Facing installation issue with SoundWave 300. Setup fails at step 6. Also, I contacted support on 06 April but got no response.",Installation Issue,Medium,SoundWave 300,face installation issue soundwave setup fail step also contact support april get response
70,Payment issue for my SmartWatch V2. I was not refunded for order #40696.,Billing Problem,Low,SmartWatch V2,payment issue smartwatch v refund order
71,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red? Also, I contacted support on 11 March but got no response.",General Inquiry,Medium,PhotoSnap Cam,tell photosnap cam warranty also available red also contact support march get response
72,Order #53287 for PowerMax Battery is 8 days late. Ordered on 08 April.,Late Delivery,Medium,PowerMax Battery,order powermax battery day late order april
73,Facing installation issue with . Setup fails at step 2.,Installation Issue,Medium,UltraClean Vacuum,face installation issue setup fail step
74,Facing installation issue with . Setup fails at step 2.,Installation Issue,High,ProTab X1,face installation issue setup fail step
75, is error. It stopped working after just 5 days.,Product Defect,Low,EcoBreeze AC,error stop work day
76,Facing installation issue with . Setup fails at step 3.,Installation Issue,unknown,EcoBreeze AC,face installation issue setup fail step
77,"Order #61645 for PhotoSnap Cam is 18 days late. Ordered on 03 April. Also, I contacted support on 03 April but got no response.",Late Delivery,Medium,PhotoSnap Cam,order photosnap cam day late order april also contact support april get response
78,Payment issue for my SoundWave 300. I was overbilled for order #57017.,Billing Problem,Medium,SoundWave 300,payment issue soundwave overbille order
79,Payment issue fr mi PhotoSnap Cam. I was underbilled fr order #45489.,Billing Problem,Medium,PhotoSnap Cam,payment issue fr mi photosnap cam underbilled fr order
80,"Order #29495 for ProTab X1 is 14 days late. Ordered on 01 May. Also, I contacted support on 01 May but got no response.",unknown,High,ProTab X1,order protab x day late order may also contact support may get response
81,I ordered PhotoSnap Cam but got FitRun Treadmill instead. My order number is #64401.,Wrong Item,Medium,PhotoSnap Cam,order photosnap cam get fitrun treadmill instead order number
82,"Can you tell me more about the SoundWave 300 warranty? Also, is it available in black?",General Inquiry,High,SoundWave 300,tell soundwave warranty also available black
83,Facing installation issue with . Setup fails at step 1.,Installation Issue,High,FitRun Treadmill,face installation issue setup fail step
85,"Can you tell me more about the  warranty? Also, is it available in blue?",General Inquiry,Medium,SmartWatch V2,tell warranty also available blue
86,I ordered SmartWatch V2 but got SoundWave 300 instead. My order number is #24006.,Wrong Item,Medium,SmartWatch V2,order smartwatch v get soundwave instead order number
87,PowerMax Battery is glitchy. It stopped working after just 7 days.,Product Defect,Low,PowerMax Battery,powermax battery glitchy stop work day
88,I ordered  but got SmartWatch V2 instead. My order number is #67796.,Wrong Item,High,PowerMax Battery,order get smartwatch v instead order number
89,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white? Also, I contacted support on 08 March but got no response.",General Inquiry,High,ProTab X1,tell protab x warranty also available white also contact support march get response
90,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in black? Delivery expected by 09 April.",General Inquiry,High,PowerMax Battery,tell powermax battery warranty also available black delivery expect april
